Biomass,C (wt%),H (wt%),O (wt%),N (wt%),S (wt%),H/C (wt%),O/C (wt%),(O+N)/C (wt%),BHHV (MJ/kg),VM (wt%),FC (wt%),Ash (wt%),VM/FC (wt%),CL (wt%),HC (wt%),LG (wt%),Temp (°C),Time (min),HR (°C/min),HHV (MJ/kg),Yield (%),CER (%),Reference
Lignosulfonate,25.74,5,46.38,4.85,12.83,2.31,1.35,1.51,8.78,41.84,25.18,32.98,1.66,4.79,13.56,4.99,600,240,11,9.54,43.85,47.64,https://doi.org/10.1016/j.biortech.2014.11.011
Straw,37.41,3.61,57.8,1.18,0,1.15,1.16,1.19,7.48,12.5,33.96,53.54,0.37,5.97,13.28,9.56,400,120,10,13.21,42,74.15,https://doi.org/10.1016/j.biombioe.2024.107346
Straw,37.41,3.61,57.8,1.18,0,1.15,1.16,1.19,7.48,12.5,33.96,53.54,0.37,5.96,13.28,9.56,500,120,10,13.19,38.87,68.52,https://doi.org/10.1016/j.biombioe.2024.107346
Straw,37.41,3.61,57.8,1.18,0,1.15,1.16,1.19,7.48,12.5,33.96,53.54,0.37,5.96,13.33,9.56,600,120,10,13.28,37.92,67.3,https://doi.org/10.1016/j.biombioe.2024.107346
Duckweed,60.12,4.54,30.96,4.3,0.08,0.9,0.39,0.45,21.28,8.54,68.92,22.54,0.12,6.17,11.52,12.38,400,120,10,22.32,44.85,47.03,https://doi.org/10.1016/j.biombioe.2024.107346
Duckweed,60.12,4.54,30.96,4.3,0.08,0.9,0.39,0.45,21.28,8.54,68.92,22.54,0.12,6.17,11.54,12.38,500,120,10,22.48,43.79,46.25,https://doi.org/10.1016/j.biombioe.2024.107346
Duckweed,60.12,4.54,30.96,4.3,0.08,0.9,0.39,0.45,21.28,8.54,68.92,22.54,0.12,6.17,11.56,12.38,600,120,10,22.61,40.29,42.8,https://doi.org/10.1016/j.biombioe.2024.107346
Mixed wood waste,45.86,5.59,48.03,0.2,0.32,1.45,0.79,0.79,14.94,13.16,85.67,1.16,0.15,41.28,19.46,9.11,400,40,10,24.11,36.34,58.64,https://doi.org/10.1016/j.mset.2024.05.002
Mixed wood waste,45.86,5.59,48.03,0.2,0.32,1.45,0.79,0.79,14.94,13.16,85.67,1.16,0.15,41.28,19.46,9.11,400,39,10,24.26,35.77,58.08,https://doi.org/10.1016/j.mset.2024.05.002
Mixed wood waste,45.86,5.59,48.03,0.2,0.32,1.45,0.79,0.79,14.94,13.16,85.67,1.16,0.15,41.28,19.46,9.11,400,39,10,24.65,34.24,56.49,https://doi.org/10.1016/j.mset.2024.05.002
Mixed wood waste,45.86,5.59,48.03,0.2,0.32,1.45,0.79,0.79,14.94,13.16,85.67,1.16,0.15,41.28,19.46,9.11,600,38,10,27.8,24.16,44.96,https://doi.org/10.1016/j.mset.2024.05.002
Mixed wood waste,45.86,5.59,48.03,0.2,0.32,1.45,0.79,0.79,14.94,13.16,85.67,1.16,0.15,41.28,19.46,9.11,600,38,10,27.86,23.09,43.06,https://doi.org/10.1016/j.mset.2024.05.002
Mixed wood waste,45.86,5.59,48.03,0.2,0.32,1.45,0.79,0.79,14.94,13.16,85.67,1.16,0.15,41.28,19.46,9.11,600,38,10,27.92,22.61,42.25,https://doi.org/10.1016/j.mset.2024.05.002
Mixed wood waste,45.86,5.59,48.03,0.2,0.32,1.45,0.79,0.79,14.94,13.16,85.67,1.16,0.15,41.28,19.46,9.11,800,38,10,31.12,22.58,47.03,https://doi.org/10.1016/j.mset.2024.05.002
Mixed wood waste,45.86,5.59,48.03,0.2,0.32,1.45,0.79,0.79,14.94,13.16,85.67,1.16,0.15,41.28,19.46,9.11,800,38,10,31.52,22.16,46.75,https://doi.org/10.1016/j.mset.2024.05.002
Mixed wood waste,45.86,5.59,48.03,0.2,0.32,1.45,0.79,0.79,14.94,13.16,85.67,1.16,0.15,41.28,19.46,9.11,800,38,10,31.89,21.94,46.83,https://doi.org/10.1016/j.mset.2024.05.002
Coconut husk waste,41.9,6.8,50.8,0.3,0.2,1.93,0.91,0.92,14.82,21.25,74.22,4.53,0.29,42.8,18.26,11.13,400,42,10,21.32,41.39,59.53,https://doi.org/10.1016/j.mset.2024.05.002
Coconut husk waste,41.9,6.8,50.8,0.3,0.2,1.93,0.91,0.92,14.82,21.25,74.22,4.53,0.29,42.8,18.26,11.13,400,42,10,21.83,41.37,60.92,https://doi.org/10.1016/j.mset.2024.05.002
Coconut husk waste,41.9,6.8,50.8,0.3,0.2,1.93,0.91,0.92,14.82,21.25,74.22,4.53,0.29,42.8,18.26,11.13,400,42,10,21.92,41.28,61.04,https://doi.org/10.1016/j.mset.2024.05.002
Coconut husk waste,41.9,6.8,50.8,0.3,0.2,1.93,0.91,0.92,14.82,21.25,74.22,4.53,0.29,42.8,18.26,11.13,600,42,10,23.06,33,51.34,https://doi.org/10.1016/j.mset.2024.05.002
Coconut husk waste,41.9,6.8,50.8,0.3,0.2,1.93,0.91,0.92,14.82,21.25,74.22,4.53,0.29,42.8,18.26,11.13,600,42,10,23.27,32.6,51.17,https://doi.org/10.1016/j.mset.2024.05.002
Coconut husk waste,41.9,6.8,50.8,0.3,0.2,1.93,0.91,0.92,14.82,21.25,74.22,4.53,0.29,42.8,18.26,11.13,600,42,10,23.63,30.8,49.1,https://doi.org/10.1016/j.mset.2024.05.002
Coconut husk waste,41.9,6.8,50.8,0.3,0.2,1.93,0.91,0.92,14.82,21.25,74.22,4.53,0.29,42.8,18.26,11.13,800,42,10,22.16,29.73,44.44,https://doi.org/10.1016/j.mset.2024.05.002
Coconut husk waste,41.9,6.8,50.8,0.3,0.2,1.93,0.91,0.92,14.82,21.25,74.22,4.53,0.29,42.8,18.26,11.13,800,42,10,22.56,29.67,45.15,https://doi.org/10.1016/j.mset.2024.05.002
Coconut husk waste,41.9,6.8,50.8,0.3,0.2,1.93,0.91,0.92,14.82,21.25,74.22,4.53,0.29,42.8,18.26,11.13,800,42,10,22.98,28.92,44.83,https://doi.org/10.1016/j.mset.2024.05.002
Rice straw,39.4,5.3,45,0.5,0.24,1.6,0.86,0.87,12.88,13.2,77,9.8,0.17,40.5,25,19.3,400,30,10,19.74,39,59.79,https://doi.org/10.1016/j.jaap.2024.106355
Rice straw,39.4,5.3,45,0.5,0.23,1.6,0.86,0.87,12.87,13.2,77,9.8,0.17,40.5,25,19.3,500,30,10,20.29,30,47.28,https://doi.org/10.1016/j.jaap.2024.106355
Rice straw,39.4,5.3,45,0.5,0.24,1.6,0.86,0.87,12.88,13.2,77,9.8,0.17,40.5,25,19.3,600,30,10,20.75,17,27.4,https://doi.org/10.1016/j.jaap.2024.106355
Empty fruit bunches,46.3,5.7,46.7,0.4,0.33,1.47,0.76,0.76,15.48,17.1,82,0.9,0.21,46.7,27.7,21.7,400,27,10,30.16,28,54.54,https://doi.org/10.1016/j.jaap.2024.106355
Empty fruit bunches,46.3,5.7,46.7,0.4,0.34,1.47,0.76,0.76,15.49,17.1,82,0.9,0.21,46.7,27.7,21.7,500,27,10,29.95,23,44.48,https://doi.org/10.1016/j.jaap.2024.106355
Empty fruit bunches,46.3,5.7,46.7,0.4,0.34,1.47,0.76,0.76,15.49,17.1,82,0.9,0.21,46.7,27.7,21.7,600,27,10,30.62,21,41.52,https://doi.org/10.1016/j.jaap.2024.106355
Pine bark,49.5,5.1,44.9,0.2,0.07,1.23,0.68,0.68,16.01,25.6,74.1,0.3,0.35,44.5,28.6,24.4,400,26,10,26.29,49,80.48,https://doi.org/10.1016/j.jaap.2024.106355
Pine bark,49.5,5.1,44.9,0.2,0.07,1.23,0.68,0.68,16.01,25.6,74.1,0.3,0.35,44.5,28.6,24.4,500,26,10,27.03,37,62.48,https://doi.org/10.1016/j.jaap.2024.106355
Pine bark,49.5,5.1,44.9,0.2,0.07,1.23,0.68,0.68,16.01,25.6,74.1,0.3,0.35,44.5,28.6,24.4,600,26,10,29.04,31,56.24,https://doi.org/10.1016/j.jaap.2024.106355
Birch trees,51.2,5.9,42.2,0.3,0.04,1.37,0.62,0.62,18.2,22.38,77.22,0.4,0.29,46.1,26,26.1,400,30,10,26.97,40,59.27,https://doi.org/10.1016/j.jaap.2024.106355
Birch trees,51.2,5.9,42.2,0.3,0.04,1.37,0.62,0.62,18.2,22.38,77.22,0.4,0.29,46.1,26,26.1,500,30,10,29.21,24,38.51,https://doi.org/10.1016/j.jaap.2024.106355
Birch trees,51.2,5.9,42.2,0.3,0.04,1.37,0.62,0.62,18.2,22.38,77.22,0.4,0.29,46.1,26,26.1,600,29,10,29.79,20,32.73,https://doi.org/10.1016/j.jaap.2024.106355
Wheat straw,36.41,3.15,46.92,0.49,0.44,1.03,0.97,0.98,8.47,16.33,75.45,8.22,0.22,38.09,25.64,16.43,400,30,11,20.78,35.12,86.15,https://doi.org/10.1016/j.fuel.2022.126940
Wheat straw,36.41,3.15,46.92,0.49,0.44,1.03,0.97,0.98,8.47,16.33,75.45,8.22,0.22,38.09,25.68,16.54,500,30,11,20.94,32.23,79.67,https://doi.org/10.1016/j.fuel.2022.126940
Wheat straw,36.41,3.15,46.92,0.49,0.44,1.03,0.97,0.98,8.47,16.33,75.45,8.22,0.22,38.09,25.62,16.54,600,30,11,21.33,28.19,70.98,https://doi.org/10.1016/j.fuel.2022.126940
Wheat straw,36.41,3.15,46.92,0.49,0.44,1.03,0.97,0.98,8.47,16.33,75.45,8.22,0.22,37.98,25.95,16.58,700,30,11,21.4,26.23,66.26,https://doi.org/10.1016/j.fuel.2022.126940
Wheat straw,36.41,3.15,46.92,0.49,0.44,1.03,0.97,0.98,8.47,16.33,75.45,8.22,0.22,37.83,25.76,16.58,800,30,11,21.26,26.16,65.65,https://doi.org/10.1016/j.fuel.2022.126940
Peach wood,43.3,3.49,43.52,0.79,0.28,0.96,0.75,0.77,11.88,10.22,88.02,1.75,0.12,41.28,22.87,15.67,400,30,10,24.2,32.06,65.32,https://doi.org/10.1016/j.fuel.2022.126940
Peach wood,43.3,3.49,43.52,0.79,0.28,0.96,0.75,0.77,11.88,10.22,88.02,1.75,0.12,41.28,22.72,15.87,500,30,10,24.58,27.45,56.81,https://doi.org/10.1016/j.fuel.2022.126940
Peach wood,43.3,3.49,43.52,0.79,0.28,0.96,0.75,0.77,11.88,10.22,88.02,1.75,0.12,41.22,22.79,15.87,600,30,10,24.97,23.42,49.24,https://doi.org/10.1016/j.fuel.2022.126940
Peach wood,43.3,3.49,43.52,0.79,0.28,0.96,0.75,0.77,11.88,10.22,88.02,1.75,0.12,41.28,23.45,15.95,700,30,10,25.45,19.18,41.1,https://doi.org/10.1016/j.fuel.2022.126940
Peach wood,43.3,3.49,43.52,0.79,0.28,0.96,0.75,0.77,11.88,10.22,88.02,1.75,0.12,41.25,23.36,15.97,800,30,10,25.35,18.86,40.25,https://doi.org/10.1016/j.fuel.2022.126940
Bamboo,46.38,4.3,44.43,0.22,0.42,1.1,0.72,0.72,13.93,14.3,85.02,0.67,0.17,43.01,26.15,16.37,400,30,10,29.62,27.54,58.58,https://doi.org/10.1016/j.fuel.2022.126940
Bamboo,46.38,4.3,44.43,0.22,0.42,1.1,0.72,0.72,13.93,14.3,85.02,0.67,0.17,43.01,26.22,16.46,500,30,10,29.4,23.31,49.21,https://doi.org/10.1016/j.fuel.2022.126940
Bamboo,46.38,4.3,44.43,0.22,0.42,1.1,0.72,0.72,13.93,14.3,85.02,0.67,0.17,42.94,26.13,16.77,600,30,10,30.09,20.19,43.62,https://doi.org/10.1016/j.fuel.2022.126940
Bamboo,46.38,4.3,44.43,0.22,0.42,1.1,0.72,0.72,13.93,14.3,85.02,0.67,0.17,42.24,26.42,16.81,700,30,10,29.7,17.11,36.49,https://doi.org/10.1016/j.fuel.2022.126940
Bamboo,46.38,4.3,44.43,0.22,0.42,1.1,0.72,0.72,13.93,14.3,85.02,0.67,0.17,42.24,26.28,16.75,800,30,10,29.81,16.92,36.22,https://doi.org/10.1016/j.fuel.2022.126940
Maize straw,41.78,5.8,51.41,0.7,0.31,1.65,0.92,0.94,13.26,14.52,77.34,8.14,0.19,0.33,0.29,0.2,300,40,10,19.92,47.05,70.7,https://doi.org/10.1016/j.cattod.2024.114663
Maize straw,41.78,5.8,51.41,0.7,0.31,1.65,0.92,0.94,13.26,14.52,77.34,8.14,0.19,0.33,0.29,0.2,400,40,10,20.04,35.09,53.04,https://doi.org/10.1016/j.cattod.2024.114663
Maize straw,41.78,5.8,51.41,0.7,0.31,1.65,0.92,0.94,13.26,14.52,77.34,8.14,0.19,0.33,0.29,0.2,500,40,10,20.03,29.69,44.86,https://doi.org/10.1016/j.cattod.2024.114663
Maize straw,41.78,5.8,51.41,0.7,0.31,1.65,0.92,0.94,13.26,14.52,77.34,8.14,0.19,0.33,0.29,0.2,600,40,10,20.29,27.76,42.49,https://doi.org/10.1016/j.cattod.2024.114663
Maize straw,41.78,5.8,51.41,0.7,0.31,1.65,0.92,0.94,13.26,14.52,77.34,8.14,0.19,0.33,0.29,0.2,700,40,10,20.28,25.6,39.16,https://doi.org/10.1016/j.cattod.2024.114663
Maize straw,41.78,5.8,51.41,0.7,0.31,1.65,0.92,0.94,13.26,14.52,77.34,8.14,0.19,0.33,0.29,0.2,800,40,10,20.24,24.06,36.73,https://doi.org/10.1016/j.cattod.2024.114663
Maize straw,41.78,5.8,51.41,0.7,0.31,1.65,0.92,0.94,13.26,14.52,77.34,8.14,0.19,0.33,0.29,0.2,900,40,10,20.24,23.21,35.44,https://doi.org/10.1016/j.cattod.2024.114663
Rice husk,40.91,5.59,52.87,0.36,0.26,1.63,0.97,0.98,12.4,13.65,72.64,13.71,0.19,0.38,0.27,0.23,300,40,10,17.27,53.76,74.89,https://doi.org/10.1016/j.cattod.2024.114663
Rice husk,40.91,5.59,52.87,0.36,0.26,1.63,0.97,0.98,12.4,13.65,72.64,13.71,0.19,0.38,0.27,0.23,400,40,10,17.28,41.34,57.62,https://doi.org/10.1016/j.cattod.2024.114663
Rice husk,40.91,5.59,52.87,0.36,0.26,1.63,0.97,0.98,12.4,13.65,72.64,13.71,0.19,0.38,0.27,0.23,500,40,10,18.34,34.78,51.45,https://doi.org/10.1016/j.cattod.2024.114663
Rice husk,40.91,5.59,52.87,0.36,0.26,1.63,0.97,0.98,12.4,13.65,72.64,13.71,0.19,0.38,0.27,0.23,600,40,10,18.27,32.24,47.51,https://doi.org/10.1016/j.cattod.2024.114663
Rice husk,40.91,5.59,52.87,0.36,0.26,1.63,0.97,0.98,12.4,13.65,72.64,13.71,0.19,0.38,0.27,0.23,700,40,10,18.15,31,45.38,https://doi.org/10.1016/j.cattod.2024.114663
Rice husk,40.91,5.59,52.87,0.36,0.26,1.63,0.97,0.98,12.4,13.65,72.64,13.71,0.19,0.38,0.27,0.23,800,40,10,18.21,30.15,44.29,https://doi.org/10.1016/j.cattod.2024.114663
Rice husk,40.91,5.59,52.87,0.36,0.26,1.63,0.97,0.98,12.4,13.65,72.64,13.71,0.19,0.38,0.27,0.23,900,40,10,18.21,28.99,42.58,https://doi.org/10.1016/j.cattod.2024.114663
Cotton straw,45.74,6.19,47.73,0.19,0.13,1.61,0.78,0.79,15.79,12.47,85.87,1.67,0.15,0.32,0.13,0.43,300,40,10,25.66,57.85,94,https://doi.org/10.1016/j.cattod.2024.114663
Cotton straw,45.74,6.19,47.73,0.19,0.13,1.61,0.78,0.79,15.79,12.47,85.87,1.67,0.15,0.32,0.13,0.43,400,40,10,28.5,30.38,54.83,https://doi.org/10.1016/j.cattod.2024.114663
Cotton straw,45.74,6.19,47.73,0.19,0.13,1.61,0.78,0.79,15.79,12.47,85.87,1.67,0.15,0.32,0.13,0.43,500,40,10,28.6,23.9,43.28,https://doi.org/10.1016/j.cattod.2024.114663
Cotton straw,45.74,6.19,47.73,0.19,0.13,1.61,0.78,0.79,15.79,12.47,85.87,1.67,0.15,0.32,0.13,0.43,600,40,10,29.6,21.2,39.74,https://doi.org/10.1016/j.cattod.2024.114663
Cotton straw,45.74,6.19,47.73,0.19,0.13,1.61,0.78,0.79,15.79,12.47,85.87,1.67,0.15,0.32,0.13,0.43,700,40,10,29.81,19.43,36.68,https://doi.org/10.1016/j.cattod.2024.114663
Cotton straw,45.74,6.19,47.73,0.19,0.13,1.61,0.78,0.79,15.79,12.47,85.87,1.67,0.15,0.32,0.13,0.43,800,40,10,29.56,17.88,33.47,https://doi.org/10.1016/j.cattod.2024.114663
Cotton straw,45.74,6.19,47.73,0.19,0.13,1.61,0.78,0.79,15.79,12.47,85.87,1.67,0.15,0.32,0.13,0.43,900,40,10,29.53,17.11,31.99,https://doi.org/10.1016/j.cattod.2024.114663
Aloe vera,36.11,5.1,36.65,1.46,0.22,1.68,0.76,0.8,12.97,7.77,71.55,20.69,0.11,45,14.45,14.2,400,127,10,16.15,46.51,57.93,https://doi.org/10.1016/j.indcrop.2023.117354
Aloe vera,36.11,5.1,36.65,1.46,0.22,1.68,0.76,0.8,12.97,7.77,71.55,20.69,0.11,45,14.45,14.2,500,121,10,18.76,37.95,54.9,https://doi.org/10.1016/j.indcrop.2023.117354
Aloe vera,36.11,5.1,36.65,1.46,0.22,1.68,0.76,0.8,12.97,7.77,71.55,20.69,0.11,45,14.45,14.2,600,115,10,20.46,34.18,53.92,https://doi.org/10.1016/j.indcrop.2023.117354
Banana pseudo-stem,33.6,7.3,36.9,22.1,0.2,2.59,0.82,1.39,15.21,6.9,80.6,12.5,0.09,32.5,13,32.2,400,18,10,20.54,43,58.05,https://doi.org/10.1016/j.heliyon.2023.e12940
Banana pseudo-stem,33.6,7.3,36.9,22.1,0.2,2.59,0.82,1.39,15.21,6.9,80.6,12.5,0.09,32.5,13,32.2,450,18,10,21.06,37.3,51.63,https://doi.org/10.1016/j.heliyon.2023.e12940
Banana pseudo-stem,33.6,7.3,36.9,22.1,0.2,2.59,0.82,1.39,15.21,6.9,80.6,12.5,0.09,32.5,13,32.2,500,18,10,23.4,34.9,53.68,https://doi.org/10.1016/j.heliyon.2023.e12940
Banana pseudo-stem,33.6,7.3,36.9,22.1,0.2,2.59,0.82,1.39,15.21,6.9,80.6,12.5,0.09,32.5,13,32.2,550,18,10,21.3,34.3,48.02,https://doi.org/10.1016/j.heliyon.2023.e12940
Banana pseudo-stem,33.6,7.3,36.9,22.1,0.2,2.59,0.82,1.39,15.21,6.9,80.6,12.5,0.09,32.5,13,32.2,600,18,10,21.38,34,47.78,https://doi.org/10.1016/j.heliyon.2023.e12940
Beech wood,47.38,6.11,46.51,0.11,0,1.54,0.74,0.74,16.44,80.15,18.93,0.92,4.23,44.62,23.96,26.51,500,28,5,31.1,20.4,38.6,https://doi.org/10.1016/j.enconman.2021.114459
Flax fibre,45.7,5.77,48.12,0.41,0.1,1.5,0.79,0.8,15.11,75.47,21.77,2.76,3.47,34.33,25.05,21.62,500,9,17,18.2,28.24,34.02,https://doi.org/10.1016/j.enconman.2021.114459
Beech wood,43.4,6.1,45.7,0.1,0,1.67,0.79,0.79,15.22,83.55,14.5,1.95,5.76,44.86,15.91,31.41,300,26,4,25.77,20.1,34.03,https://doi.org/10.1016/j.jece.2022.109094
Beech wood,44.85,5.03,40.85,0.13,0.04,1.34,0.68,0.69,15.05,85.76,13.8,0.44,6.21,46.49,25.45,27.99,300,30,4,28.9,28.82,55.33,https://doi.org/10.1021/acs.energyfuels.8b04501
Beech wood,49.1,5.7,44.5,0.3,0.05,1.38,0.68,0.68,16.8,82.53,16.59,0.87,4.97,44.27,24.82,25.66,300,30,6,30.72,19,34.75,https://doi.org/10.1016/j.fuel.2016.01.082
Beech wood,46.7,5.57,47.72,0.1,0,1.42,0.77,0.77,15.22,80.15,18.93,0.92,4.23,6.65,15.15,14.19,600,60,3,28.3,24.75,46.02,https://doi.org/10.1016/j.fuproc.2020.106664
Beech wood,46.7,5.57,47.72,0.1,0,1.42,0.77,0.77,15.22,80.15,18.93,0.92,4.23,6.39,15.22,14.19,700,60,3,28.23,16.77,31.1,https://doi.org/10.1016/j.fuproc.2020.106664
Beech wood,46.7,5.57,47.72,0.1,0,1.42,0.77,0.77,15.22,80.15,18.93,0.92,4.23,6.39,15.22,14.19,800,60,3,28.36,14.45,26.92,https://doi.org/10.1016/j.fuproc.2020.106664
Beech wood,46.7,5.57,47.72,0.1,0,1.42,0.77,0.77,15.22,80.15,18.93,0.92,4.23,6.39,15.06,13.81,900,60,3,29,13.79,26.27,https://doi.org/10.1016/j.fuproc.2020.106664
Artichoke,43.37,5.9,46.93,0.8,0,1.62,0.81,0.83,14.71,81.99,14.69,3.32,5.58,9.35,15.35,12.38,300,360,10,21.39,45.21,65.75,https://doi.org/10.1016/j.envpol.2019.04.128
Artichoke,43.37,5.9,46.93,0.8,0,1.62,0.81,0.83,14.71,81.99,14.69,3.32,5.58,9.35,15.29,12.38,500,360,10,21.29,32.67,47.29,https://doi.org/10.1016/j.envpol.2019.04.128
Artichoke,43.37,5.9,46.93,0.8,0,1.62,0.81,0.83,14.71,81.99,14.69,3.32,5.58,9.35,15.59,12.38,700,360,10,21.45,30.15,43.97,https://doi.org/10.1016/j.envpol.2019.04.128
Artichoke,45.36,6.11,47.26,0.75,0.52,1.6,0.78,0.8,15.67,80.01,16.03,3.96,4.99,63.63,16.56,7.44,550,10,10,24.35,31.2,48.48,https://doi.org/10.1016/j.biortech.2019.02.097
Artichoke,45.36,6.11,47.26,0.75,0.52,1.6,0.78,0.8,15.67,80.01,16.03,3.96,4.99,63.63,16.56,7.44,650,10,10,24.99,28.3,45.13,https://doi.org/10.1016/j.biortech.2019.02.097
Artichoke,45.36,6.11,47.26,0.75,0.52,1.6,0.78,0.8,15.67,80.01,16.03,3.96,4.99,63.63,16.56,7.44,750,10,10,25.02,27.2,43.43,https://doi.org/10.1016/j.biortech.2019.02.097
Artichoke,45.36,6.11,47.26,0.75,0.52,1.6,0.78,0.8,15.67,80.01,16.03,3.96,4.99,63.63,16.56,7.44,850,10,10,25,25.6,40.84,https://doi.org/10.1016/j.biortech.2019.02.097
Reed,42.78,5.17,50.51,1.33,0.21,1.44,0.89,0.91,12.85,76.63,14.37,9,5.33,43.05,30.68,20.34,550,10,10,20.07,34.8,54.37,https://doi.org/10.1016/j.biortech.2019.02.097
Reed,42.78,5.17,50.51,1.33,0.21,1.44,0.89,0.91,12.85,76.63,14.37,9,5.33,43.05,30.68,20.34,650,10,10,20.32,31.4,49.67,https://doi.org/10.1016/j.biortech.2019.02.097
Reed,42.78,5.17,50.51,1.33,0.21,1.44,0.89,0.91,12.85,76.63,14.37,9,5.33,43.05,30.68,20.34,750,10,10,20.02,29.8,46.44,https://doi.org/10.1016/j.biortech.2019.02.097
Reed,42.78,5.17,50.51,1.33,0.21,1.44,0.89,0.91,12.85,76.63,14.37,9,5.33,43.05,30.68,20.34,850,10,10,20.09,28.2,44.1,https://doi.org/10.1016/j.biortech.2019.02.097
Birch bark,47.96,7.13,44.6,0.28,0.04,1.77,0.7,0.7,18.43,75.93,21.52,2.55,3.53,25.83,16.67,16.67,1000,20,13,27.58,23.5,35.16,https://doi.org/10.1016/j.fuel.2024.131667
Miscanthus,50.1,5.9,43.7,0.2,0.1,1.4,0.65,0.66,17.57,80.9,17.1,2,4.73,35.01,26.34,19.25,800,27,10,30.6,29.7,51.73,https://doi.org/10.1016/j.fuel.2016.03.092
Miscanthus,49.8,5.87,41.5,0.4,0.1,1.4,0.63,0.63,17.82,80.34,17.19,2.47,4.67,35.55,25.36,21.92,510,30,10,27.3,39,59.76,https://doi.org/10.1016/j.jaap.2021.105115
Miscanthus,57.87,5.04,36.86,0.24,0.01,1.04,0.48,0.48,20.18,84.83,12.19,2.98,6.96,42.56,22,27.49,500,30,10,31.5,24.5,38.25,https://doi.org/10.1016/j.fuproc.2018.05.029
Miscanthus,46.3,5.93,45.57,0.36,0.09,1.53,0.74,0.74,15.99,90.8,7.31,1.89,12.42,39.21,26.59,23.21,700,24,10,30.1,26.32,49.54,https://doi.org/10.1016/j.energy.2017.03.031
Pine,50.8,5.8,41.9,0.41,0.1,1.36,0.62,0.63,17.98,80.37,18.59,1.04,4.32,49.1,17.9,31.6,510,28,12,27.14,34,51.31,https://doi.org/10.1016/j.jaap.2021.105115
Pine,54.8,5.65,39.46,0.09,0.03,1.23,0.54,0.54,19.55,82.13,17.59,0.28,4.67,49.1,17.9,31.6,500,28,10,28.6,18.7,27.36,https://doi.org/10.1016/j.fuproc.2018.05.029
Pine,48.15,6.7,43.6,1.35,0.2,1.66,0.68,0.7,18.08,85.45,13.15,1.4,6.5,48.7,16.7,30.9,300,23,11,29.1,50.65,81.53,https://doi.org/10.1016/j.fuel.2015.05.032
Pine,54.53,6.56,31.14,0.94,0.09,1.43,0.43,0.44,22.25,67.06,25.93,7.01,2.59,49.1,17.9,31.6,500,24,11,30.5,22.09,30.28,https://doi.org/10.1016/j.joei.2023.101242
Pine,43.99,3.65,47.57,1.67,0.51,0.99,0.81,0.84,11.64,73.98,23.41,2.61,3.16,35.82,24.8,17.87,400,9,20,22.92,45.1,88.82,https://doi.org/10.1039/D1RA06652H
Pine,43.99,3.65,47.57,1.67,0.51,0.99,0.81,0.84,11.64,73.98,23.41,2.61,3.16,35.81,24.88,17.73,500,9,20,26.68,32.73,75.03,https://doi.org/10.1039/D1RA06652H
Pine,43.99,3.65,47.57,1.67,0.51,0.99,0.81,0.84,11.64,73.98,23.41,2.61,3.16,35.82,25.03,17.67,600,9,20,29.08,30.29,75.69,https://doi.org/10.1039/D1RA06652H
Pine,43.99,3.65,47.57,1.67,0.51,0.99,0.81,0.84,11.64,73.98,23.41,2.61,3.16,35.68,25.35,17.6,700,9,20,29.31,29.12,73.34,https://doi.org/10.1039/D1RA06652H
Switchgrass,40.02,6.48,41.97,1.07,0.08,1.93,0.79,0.81,15.3,94.16,3.37,2.47,27.94,5.48,12.32,11.85,200,60,10,18.63,69.56,84.72,https://doi.org/10.1016/j.jaap.2018.04.010
Switchgrass,40.02,6.48,41.97,1.07,0.08,1.93,0.79,0.81,15.3,94.16,3.37,2.47,27.94,5.48,12.26,11.85,400,60,10,24.64,32.8,52.84,https://doi.org/10.1016/j.jaap.2018.04.010
Switchgrass,40.02,6.48,41.97,1.07,0.08,1.93,0.79,0.81,15.3,94.16,3.37,2.47,27.94,5.47,12.31,11.83,600,60,10,25.29,23.1,38.19,https://doi.org/10.1016/j.jaap.2018.04.010
Switchgrass,40.02,6.48,41.97,1.07,0.08,1.93,0.79,0.81,15.3,94.16,3.37,2.47,27.94,5.47,12.4,11.83,800,60,10,25.46,20.78,34.59,https://doi.org/10.1016/j.jaap.2018.04.010
Switchgrass,45.5,5.83,42.59,0.61,0,1.53,0.7,0.71,16.1,82.89,11.78,5.33,7.04,6.42,15.88,13.94,300,120,10,22.62,41.1,57.74,https://doi.org/10.15376/biores.12.3.6529-6544
Switchgrass,45.5,5.83,42.59,0.61,0,1.53,0.7,0.71,16.1,82.89,11.78,5.33,7.04,6.42,15.3,13.92,500,120,10,22.68,27.1,38.17,https://doi.org/10.15376/biores.12.3.6529-6544
Switchgrass,45.5,5.83,42.59,0.61,0,1.53,0.7,0.71,16.1,82.89,11.78,5.33,7.04,6.4,15.24,13.92,700,120,10,22.69,26.6,37.48,https://doi.org/10.15376/biores.12.3.6529-6544
Algae,45.76,6.43,33.95,7.67,0.74,1.67,0.56,0.7,18.66,82.45,12.1,5.45,6.81,39.07,23.83,26.49,550,20,4,25.19,31.2,42.12,https://doi.org/10.1021/acs.est.3c01325
Algae,45.76,6.43,33.95,7.67,0.74,1.67,0.56,0.7,18.66,82.45,12.1,5.45,6.81,39.04,23.23,26.48,650,20,4,25.35,25.7,34.92,https://doi.org/10.1021/acs.est.3c01325
