Biomass,C,H,O,N,S,H/C,FC,Ash,VM/FC,Temp,Time,HR,HHV,CER,Yield,Reference
Rice Straw,40.06,5.47,40.23,0.69,0.48,1.64,10.06,13.07,7.64,500,30,10,19.8,52.22,37.5,https://doi.org/10.1016/j.energy.2017.11.062
Rice Straw,40.06,5.47,40.23,0.69,0.48,1.64,10.06,13.07,7.64,450,30,10,19.6,55.11,39.98,https://doi.org/10.1016/j.energy.2017.11.062
Rice Straw,40.06,5.47,40.23,0.69,0.48,1.64,10.06,13.07,7.64,300,30,10,17.4,91.15,74.49,https://doi.org/10.1016/j.energy.2017.11.062
Cotton stalk,43.95,5.81,41.12,1.12,0.56,1.59,10.17,7.45,8.1,550,30,10,24.6,55.74,35.96,https://doi.org/10.1016/j.energy.2017.11.062
Rice Straw,40.06,5.47,40.23,0.69,0.48,1.64,10.06,13.07,7.64,400,30,10,19,58.43,43.73,https://doi.org/10.1016/j.energy.2017.11.062
Rape stalk,43.92,5.92,42.54,0.49,0.71,1.62,7.49,6.42,11.49,450,30,10,23.4,52.62,35.46,https://doi.org/10.1016/j.energy.2017.11.062
Wheat straw,42.95,5.64,40.51,0.76,0.78,1.58,9.93,9.37,8.13,500,30,10,22,48.63,34.06,https://doi.org/10.1016/j.energy.2017.11.062
Cotton stalk,43.95,5.81,41.12,1.12,0.56,1.59,10.17,7.45,8.1,500,30,10,23.8,52.46,34.98,https://doi.org/10.1016/j.energy.2017.11.062
Wheat straw,42.95,5.64,40.51,0.76,0.78,1.58,9.93,9.37,8.13,450,30,10,21.1,51.43,37.56,https://doi.org/10.1016/j.energy.2017.11.062
Wheat straw,42.95,5.64,40.51,0.76,0.78,1.58,9.93,9.37,8.13,300,30,10,18.1,81.87,69.7,https://doi.org/10.1016/j.energy.2017.11.062
Rape stalk,43.92,5.92,42.54,0.49,0.71,1.62,7.49,6.42,11.49,400,30,10,22.1,53.66,38.29,https://doi.org/10.1016/j.energy.2017.11.062
Corn stover,43.28,5.92,39.32,1.96,0.66,1.64,8.93,8.86,9.21,600,30,10,22.54,50.01,35.79,https://doi.org/10.1016/j.energy.2017.11.062
